Species Latin Name,Species Index,Species Common Name,Order,N,Female,Number of Tissue Types,Mean of Age,SD of Age,Minimum of Age,Maximum of Age,Gestation (yrs),Averaged Sexual Maturity (yrs),Maximum Lifespan (yrs),Weight (gram),Marsupial species,Tissue type
Acinonyx jubatus,5.2.1,Cheetah,Carnivora,14,62%,1,6.64,3.55,1.03,12.43,0.241,1.25,20.5,53500,no,Blood
Acomys cahirinus,9.9.5,Spiny mouse,Rodentia,107,89%,2,1.38,1.21,-0.05,4,0.104,0.16,5.9,45.2,no,Ear;Fibroblast
Addax nasomaculatus,4.1.1,Addax,Artiodactyla,1,0%,1,10.63,,10.63,10.63,0.773,2.92,28,92500,no,Blood
Aepyceros melampus,4.1.2,Impala,Artiodactyla,1,100%,1,6,,6,6,0.542,1.17,25.6,52500,no,Blood
Amblysomus hottentotus,13.1.1,Hottentot golden mole,Afrosoricida,9,,4,0.12,0,0.12,0.12,0.329,0.2,4,54.75,no,Brain;Liver;Muscle;Skin
Antidorcas marsupialis,4.1.3,Springbok,Artiodactyla,2,0%,1,4.59,6.16,0.23,8.95,0.46,0.84,19.8,39000,no,Blood
Antrozous pallidus,8.7.1,Pallid bat,Chiroptera,23,91%,1,3.49,1.79,0.2,7,0.17,1,14.8,20.8,no,Skin
Aonyx cinereus,5.6.1,Asian small-clawed otter,Carnivora,16,69%,2,10.59,3.47,7.59,18.18,0.173,2,23,3000,no,Blood;Skin
Apodemus sylvaticus,9.9.15,Long-tailed field mouse,Rodentia,90,56%,4,0.46,0.2,0.16,1.05,0.063,0.19,6.3,23.4,no,Blood;Ear;Liver;Spleen
Artibeus jamaicensis,8.4.1,Jamaican fruit bat,Chiroptera,3,100%,1,12.23,1.08,11,13,0.208,0.79,19.2,42.2,no,Skin
Atelerix albiventris,12.1.1,Four-toed hedgehog,Eulipotyphla,8,,4,0.12,0,0.12,0.12,0.096,0.23,11.4,500,no,Brain;Liver;Muscle;Skin
Balaena mysticetus,4.11.1,Bowhead whale,Artiodactyla,88,45%,6,22.69,27.51,1,139,1.164,22.5,211,100000000,no,Cortex;Heart;Kidney;Liver;Muscle;Skin
Bathyergus suillus,9.1.4,Cape-dune mole rat,Rodentia,8,,4,5.5,0,5.5,5.5,0.187,1,6,866.85,no,Brain;Liver;Muscle;Skin
Bos taurus,4.1.4,Cattle,Artiodactyla,455,79%,4,4.56,2.86,-0.74,14.42,0.759,1.5,38,750000,no,Blood;iPSC;Oocyte;Skin
Callithrix geoffroyi,1.8.1,White-fronted marmoset,Primates,1,100%,1,18.21,,18.21,18.21,0.407,1.38,19,342,no,Blood
